Welcome to the profile statistics browser.
profiling/profiling.data% profiling/profiling.data% Mon Jan  7 17:29:53 2019    profiling/profiling.data

         430080 function calls (421447 primitive calls) in 115.482 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       53    0.000    0.000    0.001    0.000 /usr/lib/python3.6/abc.py:135(<setcomp>)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:3740(__str__)
   120/93    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_compile.py:414(_get_literal_prefix)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.6/site-packages/numpy/core/numerictypes.py:81(<module>)
       46    0.000    0.000    0.000    0.000 /usr/lib/python3.6/functools.py:44(update_wrapper)
      496    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:707(find_spec)
      335    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
       78    0.000    0.000    0.002    0.000 /usr/lib/python3.6/traceback.py:279(line)
      864    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       50    0.000    0.000    0.002    0.000 /usr/lib/python3.6/site-packages/pkg_resources/__init__.py:1381(safe_version)
  734/692    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/numpy/core/getlimits.py:65(__init__)
      144    0.000    0.000    0.000    0.000 /usr/lib/python3.6/random.py:223(_randbelow)
        1    0.000    0.000    0.011    0.011 /usr/lib/python3.6/site-packages/pyparsing.py:5353(pyparsing_common)
       27    0.000    0.000    0.005    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:1016(_trim_arity)
       49    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:2785(__str__)
       50    0.000    0.000    0.002    0.000 /usr/lib/python3.6/site-packages/pkg_resources/__init__.py:2423(__init__)
      112    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       43    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
    82/80    0.000    0.000    0.000    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:349(__init__)
        1    0.000    0.000    0.084    0.084 /usr/lib/python3.6/site-packages/numpy/core/__init__.py:1(<module>)
        1    0.000    0.000    0.177    0.177 /usr/lib/python3.6/site-packages/pkg_resources/__init__.py:16(<module>)
      116    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:76(__init__)
      134    0.000    0.000    0.000    0.000 /usr/lib/python3.6/abc.py:178(__instancecheck__)
       83    0.000    0.000    0.001    0.000 /usr/lib/python3.6/site-packages/pyparsing.py:1780(__add__)
